Age,Sex,Ethnicity,Offence,Month and year,Value
Ages 0 to 4 years inclusive,Female,European,Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Homicide and Related Offences,October 2015,1
Ages 0 to 4 years inclusive,Male,Maori,Assault,October 2015,18
Ages 0 to 4 years inclusive,Female,Maori,Assault,October 2015,6
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,Middle Eastern,Sexual Assault,October 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,October 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2015,9
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,October 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,October 2015,6
Ages 5 to 9 years inclusive,Female,Indian,Assault,October 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,October 2015,12
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,October 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,October 2015,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,October 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Assault,October 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2015,6
Ages 5 to 9 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,October 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2015,6
